ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
3MINDIA.NS,3MINDIA,3M India Limited,Industrials,Conglomerates,398445510656,INR,NSE,EQUITY,
A2ZINFRA.NS,A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,2577213696,INR,NSE,EQUITY,
AARON.NS,AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,3765338880,INR,NSE,EQUITY,
AARTECH.NS,AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,1559290112,INR,NSE,EQUITY,
AARVI.NS,AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,1793131392,INR,NSE,EQUITY,
ABB.NS,ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,1111177297920,INR,NSE,EQUITY,
ABINFRA.NS,ABINFRA,A B INFRABUILD LIMITED,Industrials,Engineering & Construction,12130610176,INR,NSE,EQUITY,
ACCURACY.NS,ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,844641600,INR,NSE,EQUITY,
ACE.NS,ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,116075520000,INR,NSE,EQUITY,
ACEINTEG.NS,ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,223788000,INR,NSE,EQUITY,
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,3238278987776,INR,NSE,EQUITY,
ADOR.NS,ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,18098929664,INR,NSE,EQUITY,
AEQUS.NS,AEQUS,AEQUS LIMITED,Industrials,Aerospace & Defense,91673034752,INR,NSE,EQUITY,
AEROFLEX.NS,AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,23255681024,INR,NSE,EQUITY,
AFCONS.NS,AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,Engineering & Construction,145661100032,INR,NSE,EQUITY,
AFFORDABLE.NS,AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery,2395117312,INR,NSE,EQUITY,
AHLADA.NS,AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment,643336576,INR,NSE,EQUITY,
AHLUCONT.NS,AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction,63802302464,INR,NSE,EQUITY,
AIAENG.NS,AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,351248515072,INR,NSE,EQUITY,
AJAXENGG.NS,AJAXENGG,AJAX ENGINEERING LIMITED,Industrials,Farm & Heavy Construction Machinery,68895776768,INR,NSE,EQUITY,
AKASH.NS,AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction,439774944,INR,NSE,EQUITY,
AKG.NS,AKG,AKG Exim Limited,Industrials,Industrial Distribution,394665088,INR,NSE,EQUITY,
ALICON.NS,ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication,13823417344,INR,NSE,EQUITY,
ALLCARGO.NS,ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,10922144768,INR,NSE,EQUITY,
ALLDIGI.NS,ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services,12781146112,INR,NSE,EQUITY,
ANUP.NS,ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery,44106285056,INR,NSE,EQUITY,
APARINDS.NS,APARINDS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,359548125184,INR,NSE,EQUITY,
APOLLO.NS,APOLLO,Apollo Micro Systems Limited,Industrials,Aerospace & Defense,81674272768,INR,NSE,EQUITY,
